dataset,c1,c2,c3,c4,l1,l2,s1,s2,s3,l3,s4,t2
Syn_Reg_interact_2f,0.6111152346137179,0.2565971844131601,0.47,0.07,0.05722963592460104,0.007341101774373796,0.0424916583251032,0.41544840181811205,0.0033520769606145057,0.005950019711548363,0.00274251263651404,75.0
Syn_Reg_interact_3f,0.4631460349559439,0.3213226813631262,0.67,0.09666666666666666,0.0531193106587137,0.00574327971283331,0.08086637021781125,0.5397028048052164,0.009746347842211454,0.004087973166906394,0.00453371622504006,50.0
Syn_Reg_interact_4f_lownoise,0.4479463105145612,0.30439434512235325,0.6466666666666666,0.08,0.057801315898443256,0.007805537484004098,0.06875473434739628,0.5242779597328304,0.007685308184835021,0.00578000298659214,0.003971647292776745,50.0
Syn_Reg_interact_5f,0.5029429215880177,0.22269291881020897,0.6433333333333333,0.06333333333333334,0.06380438549364255,0.00774144986462545,0.07689241694107966,0.6374353618123672,0.009744890176053074,0.00596314586114246,0.004634200879737713,37.5
Syn_Reg_interact_clean,0.4742012689029878,0.25549120916158324,0.6566666666666666,0.08666666666666667,0.06341871538674622,0.008980213183076666,0.05564359826311173,0.5500306707043793,0.006238325847727022,0.007306794358101491,0.004086543115377934,50.0
Syn_Reg_interact_highdim,0.5582718016987606,0.1847434233963962,0.6375,0.1525,0.08353032287759898,0.011389935356661687,0.10857852266201444,0.7214412112762508,0.019528111996120284,0.008829663929539436,0.006907283421424111,40.0
Syn_Reg_interact_noise,0.2594322159135101,0.16607055633951487,0.7933333333333333,0.30333333333333334,0.11162621025488907,0.01956624295112266,0.14462616442129886,0.5106373213853488,0.03722596546655784,0.0179724742273004,0.01558528133549723,60.0
Syn_Reg_medium_n200,0.93735993399835,0.3383252081302033,-0.5,0.035,0.0007270003050675575,8.291895393254401e-07,0.05681049385087482,0.42167596153361453,0.0049426618270275256,5.997574421890906e-07,0.001457216378564038,50.0
Syn_Reg_mixed_interact_sin,0.45833131479238653,0.317346859409549,0.67,0.08333333333333333,0.05847890039535812,0.006511915357593212,0.08857414917133019,0.5379082763143909,0.0117666104244002,0.004852388472229454,0.005259144594822008,50.0
Syn_Reg_mixed_quad_10f,0.09285639285245531,0.038094969343558396,0.905,0.4475,0.12580106837988564,0.02550946437551256,0.1411714733803149,0.736773612778534,0.03198200466794309,0.02466179041616124,0.025240204956130143,40.0
Syn_Reg_mixed_sin_10f,0.28251757823486395,0.10179710498190613,0.795,0.3775,0.14403767304024664,0.03270910144083983,0.21423099696059622,1.2806385399141929,0.07116258858275717,0.030315043142052123,0.02645885514969069,40.0
Syn_Reg_multicol_high,0.673356815075723,0.21519163546261622,0.4266666666666667,0.09,0.010727929120060471,0.00017253341311739885,0.09663426083254753,0.6980930924239324,0.013431245330954376,0.00011014988911704571,0.004312125510349304,30.0
Syn_Reg_multicol_low,0.9384939832664807,0.3506466368144831,-0.5,0.0,0.006911572509266079,7.783387487910061e-05,0.05867846057886739,0.5000566533916074,0.004767626864571291,5.1954908042268694e-05,0.0014099450287936221,50.0
Syn_Reg_outlier_high,0.4510805675618617,0.28349548328314755,0.5866666666666667,0.09333333333333334,0.04176671515880158,0.00957202858941403,0.07398541122549387,0.42523097217969347,0.017634582679628627,0.008639629373633672,0.007697307675175125,75.0
Syn_Reg_outlier_low,0.5684103156701741,0.3496695518839098,0.5366666666666666,0.02666666666666667,0.023108105813476772,0.00421095798447527,0.045669049768028776,0.41934956070105833,0.009355065560910309,0.003124926423793932,0.0034048585505514874,75.0
Syn_Reg_quad_2f,0.009507661196235515,0.006332292581028678,0.8833333333333333,0.19333333333333333,0.09012451544348257,0.016985930395674628,0.02839859217764495,0.25493532234325045,0.0031517947280999266,0.015970281808939158,0.008891385176358586,150.0
