dataset,c1,c2,c3,c4,l1,l2,l3,s1,s2,s3,s4,t2,meta_label
Syn_Reg_interact_clean,0.4742012689029878,0.25549120916158324,0.6566666666666666,0.08666666666666667,0.06341871538674622,0.008980213183076666,0.05564359826311173,0.5500306707043793,0.006238325847727022,0.007442140185489447,0.0036716153608505235,50.0,RY
Syn_Reg_interact_highdim,0.5756815075723064,0.18671087456527297,0.6366666666666667,0.15,0.08394601530052775,0.011241511582297277,0.10557589250050782,0.7350484191574355,0.017992727404744335,0.00862284069615354,0.007788560359419766,30.0,unit
Syn_Reg_interact_noise,0.2594322159135101,0.16607055633951487,0.7933333333333333,0.30333333333333334,0.11162621025488907,0.01956624295112266,0.14462616442129886,0.5106373213853488,0.03722596546655784,0.0180567908332124,0.014824620193969906,60.0,unit
Syn_Reg_medium_n200,0.93735993399835,0.3383252081302033,-0.5,0.035,0.0007270003050675575,8.291895393254401e-07,0.05681049385087482,0.42167596153361453,0.0049426618270275256,6.792764189345974e-07,0.0014508256767425045,50.0,unit
Syn_Reg_mixed_interact_sin,0.45833131479238653,0.317346859409549,0.67,0.08333333333333333,0.05847890039535812,0.006511915357593212,0.08857414917133019,0.5379082763143909,0.0117666104244002,0.0045871808309628165,0.005312829209505047,50.0,unit
Syn_Reg_mixed_quad_10f,0.1218444649384993,0.05509114545717174,0.9466666666666667,0.39,0.12369579659143107,0.02518263970993184,0.14187418091003226,0.7470796820673568,0.031856926472734075,0.02382125357971979,0.022767530494054226,30.0,RY
Syn_Reg_multicol_high,0.673356815075723,0.21519163546261622,0.4266666666666667,0.09,0.010727929120060471,0.00017253341311739885,0.09663426083254753,0.6980930924239324,0.013431245330954376,0.00011398862061749077,0.004088737402604943,30.0,unit
Syn_Reg_multicol_low,0.9384939832664807,0.3506466368144831,-0.5,0.0,0.006911572509266079,7.783387487910061e-05,0.05867846057886739,0.5000566533916074,0.004767626864571291,5.4687151773600686e-05,0.0015336215664402035,50.0,unit
Syn_Reg_outlier_low,0.5684103156701741,0.3496695518839098,0.5366666666666666,0.02666666666666667,0.023108105813476772,0.00421095798447527,0.045669049768028776,0.41934956070105833,0.009355065560910309,0.0034724154291155595,0.0028965608214170675,75.0,unit
Syn_Reg_quad_2f,0.009507661196235515,0.006332292581028678,0.8833333333333333,0.19333333333333333,0.09012451544348257,0.016985930395674628,0.02839859217764495,0.25493532234325045,0.0031517947280999266,0.015755346713848133,0.008838209727378431,150.0,RY
Syn_Reg_quad_4f,0.0729496994411049,0.05524950277225302,0.9466666666666667,0.45666666666666667,0.11227839242669949,0.021364631593208644,0.07113995773916573,0.432129225187982,0.010159788009578471,0.02043892203002178,0.013695382873749953,75.0,HERx
Syn_Reg_quad_6f,0.1134874831942577,0.04951277236413738,0.9466666666666667,0.4766666666666667,0.13531965359172232,0.030468146584005082,0.11337019757853563,0.5719148825491002,0.023722543455322653,0.029658482193275448,0.025602764206596976,50.0,ZFM
Syn_Reg_quad_8f,0.14420560228446982,0.07992327692529916,0.8733333333333333,0.37,0.11816955367905616,0.023941699176081774,0.13595151237865366,0.6428640888797299,0.028872108862264483,0.022176648268582358,0.022067331024085986,37.5,RY
Syn_Reg_quad_highdim,0.09021255791731018,0.03804342270469672,0.9533333333333334,0.4866666666666667,0.13665264842334474,0.029817352868369167,0.16727633825820568,0.8481231325184102,0.046471552281401894,0.028406902790618527,0.03089971420592904,25.0,RY
Syn_Reg_quad_lownoise,0.09647529416993522,0.04158475834916684,0.8966666666666666,0.4766666666666667,0.123212574285172,0.0274346360808679,0.04793256686182916,0.35016456814958263,0.00646121755152936,0.026670541712433996,0.015385665998363763,100.0,HERx
Syn_Reg_quad_noise,0.04722319136879298,0.04047704233750745,0.9333333333333333,0.4266666666666667,0.12126013253635655,0.025771482716117722,0.1488927824835299,0.37030003651048293,0.036022125051082925,0.02486480791923903,0.023069531229550973,100.0,RY
Syn_Reg_sin_1f,0.35430527005855617,0.1419957999533328,0.82,0.7233333333333334,0.25931262415622003,0.09049946613291643,0.16084038222850874,0.6564146908351894,0.031924097343867135,0.08637986270474009,0.08913530477312089,100.0,ZFM
Syn_Reg_sin_2f,0.3385299836664852,0.2015706841187124,0.7733333333333333,0.47,0.17893452372963872,0.04742030318453131,0.1847590588449032,0.7933089440350737,0.0419036873717952,0.04328278233007272,0.041143030061221546,75.0,ZFM
Syn_Reg_sin_3f_clean,0.2776995299947777,0.270253965784805,0.7966666666666666,0.4,0.15699374470131047,0.036791525134116924,0.12097434243375005,0.6452820857547407,0.016912341841659646,0.03448759701867214,0.030953830659932388,100.0,ZFM
Syn_Reg_sin_highfreq,0.33803531150346117,0.2524844720496894,0.7166666666666667,0.32,0.1371665254583741,0.03073125476608785,0.14736349856444042,0.7740270261889534,0.02951233762915244,0.027672714681527943,0.027310663204208798,75.0,ZFM
Syn_Reg_sin_noise,0.2949454993944377,0.17351792797697752,0.7933333333333333,0.4066666666666667,0.13068602517424907,0.027030550906528117,0.17150086810498663,0.8005385026842191,0.03724172774959657,0.02491121768900692,0.026290749907207162,75.0,ZFM
Syn_Reg_small_n50,0.5852100840336134,0.43214885954381754,0.44,0.22,0.0009621701635688303,1.3981636974911507e-06,0.14044878285410034,0.4742175860108887,0.01998689879606292,9.162780408723777e-07,0.007610969306643448,12.5,unit
Syn_Reg_sparse_10inf,0.6291247680529783,0.15257138412649032,0.44333333333333336,0.07333333333333333,0.000520095212770092,4.1423599692210237e-07,0.15070902686604845,1.0648706450408416,0.03368506551978931,3.0306032969352315e-07,0.009851599656944113,15.0,unit
Syn_Reg_sparse_1inf,0.9999399993333259,0.15691872131912576,-0.5,0.0,0.0009015050252878132,1.26869042299938e-06,0.0950961026761977,0.6966007005799507,0.013528633720421516,8.949667496703521e-07,0.004885144836060906,30.0,unit
Syn_Reg_sparse_2inf,0.8076854187268748,0.18406702296692184,0.18666666666666668,0.08333333333333333,0.0005533850178644061,4.5338358144617066e-07,0.0924668910582695,0.7078001833868122,0.013462924819999325,3.046372605181394e-07,0.00378828105306264,30.0,unit
Syn_Reg_sparse_5inf,0.6180624229158102,0.21701587795419944,0.5033333333333333,0.05,0.0004014306377528311,2.5252920616520295e-07,0.08707439534826955,0.6893931859149524,0.010860503519427755,1.67093238993147e-07,0.003488467786003811,30.0,unit
Syn_Reg_tiny_n30,0.6925472747497218,0.5421579532814237,0.23333333333333334,0.23333333333333334,0.0009101517241500795,1.4363720712920616e-06,0.09777552665245094,0.4246492291652429,0.01028690882183977,1.2120428195741062e-06,0.002660525478062687,10.0,unit
Thermography,0.6389979016167269,0.3894501879199308,0.48,0.0,0.05441075660233255,0.0052240190735248744,0.07185185185185203,1.2089347152773045,0.00830183925422024,0.0037615574881598246,0.0050601265852202645,9.090909090909092,unit
Wine Quality Red,0.4044171502398401,0.17558312223514927,0.57,0.31666666666666665,0.11698176409597091,0.02184427318150636,0.138,0.8161517804101461,0.039733333333333336,0.018789587143473164,0.017091087616390024,27.272727272727273,unit
